,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,-122.23,37.88,41.0,880,129,322,126,83252.0,452600.0,NEAR BAY
1,-122.22,37.86,21.0,7099,1106,2401,1138,83013.99999999999,358500.0,NEAR BAY
2,-122.24,37.85,52.0,1467,190,496,177,72574.0,352100.0,NEAR BAY
3,-122.25,37.85,52.0,1274,235,558,219,56430.99999999999,341300.0,NEAR BAY
4,-122.25,37.85,52.0,1627,280,565,259,38462.0,342200.0,NEAR BAY
5,-122.25,37.85,52.0,919,213,413,193,40368.00000000001,269700.0,NEAR BAY
6,-122.25,37.84,52.0,2535,489,1094,514,36591.0,299200.0,NEAR BAY
7,-122.25,37.84,52.0,3104,687,1157,647,31200.0,241400.0,NEAR BAY
8,-122.26,37.84,42.0,2555,665,1206,595,20804.0,226700.0,NEAR BAY
9,-122.25,37.84,52.0,3549,707,1551,714,36912.0,261100.0,NEAR BAY
10,-122.26,37.85,52.0,2202,434,910,402,32031.0,281500.0,NEAR BAY
11,-122.26,37.85,52.0,3503,752,1504,734,32705.000000000004,241800.0,NEAR BAY
12,-122.26,37.85,52.0,2491,474,1098,468,30750.0,213500.0,NEAR BAY
13,-122.26,37.84,52.0,696,191,345,174,26736.0,191300.0,NEAR BAY
14,-122.26,37.85,52.0,2643,626,1212,620,19167.0,159200.0,NEAR BAY
15,-122.26,37.85,50.0,1120,283,697,264,21250.0,140000.0,NEAR BAY
16,-122.27,37.85,52.0,1966,347,793,331,27750.0,152500.0,NEAR BAY
17,-122.27,37.85,52.0,1228,293,648,303,21202.0,155500.0,NEAR BAY
18,-122.26,37.84,50.0,2239,455,990,419,19911.0,158700.0,NEAR BAY
19,-122.27,37.84,52.0,1503,298,690,275,26033.0,162900.0,NEAR BAY
20,-122.27,37.85,40.0,751,184,409,166,13577.999999999998,147500.0,NEAR BAY
21,-122.27,37.85,42.0,1639,367,929,366,17135.0,159800.0,NEAR BAY
22,-122.27,37.84,52.0,2436,541,1015,478,17250.0,113900.0,NEAR BAY
23,-122.27,37.84,52.0,1688,337,853,325,21806.0,99700.0,NEAR BAY
24,-122.27,37.84,52.0,2224,437,1006,422,26000.0,132600.0,NEAR BAY
25,-122.28,37.85,41.0,535,123,317,119,24038.0,107500.0,NEAR BAY
26,-122.28,37.85,49.0,1130,244,607,239,24597.000000000004,93800.0,NEAR BAY
27,-122.28,37.85,52.0,1898,421,1102,397,18080.0,105500.0,NEAR BAY
28,-122.28,37.84,50.0,2082,492,1131,473,16424.0,108900.0,NEAR BAY
29,-122.28,37.84,52.0,729,160,395,155,16875.0,132000.0,NEAR BAY
30,-122.28,37.84,49.0,1916,447,863,378,19274.0,122300.0,NEAR BAY
31,-122.28,37.84,52.0,2153,481,1168,441,19615.0,115200.0,NEAR BAY
32,-122.27,37.84,48.0,1922,409,1026,335,17969.0,110400.0,NEAR BAY
33,-122.27,37.83,49.0,1655,366,754,329,13750.0,104900.0,NEAR BAY
34,-122.27,37.83,51.0,2665,574,1258,536,27303.0,109700.0,NEAR BAY
35,-122.27,37.83,49.0,1215,282,570,264,14861.0,97200.0,NEAR BAY
36,-122.27,37.83,48.0,1798,432,987,374,10972.0,104500.0,NEAR BAY
37,-122.28,37.83,52.0,1511,390,901,403,14103.000000000002,103900.0,NEAR BAY
38,-122.26,37.83,52.0,1470,330,689,309,34800.0,191400.0,NEAR BAY
39,-122.26,37.83,52.0,2432,715,1377,696,25898.0,176000.0,NEAR BAY
40,-122.26,37.83,52.0,1665,419,946,395,20978.0,155400.0,NEAR BAY
41,-122.26,37.83,51.0,936,311,517,249,12851.999999999998,150000.0,NEAR BAY
42,-122.26,37.84,49.0,713,202,462,189,10250.0,118800.0,NEAR BAY
43,-122.26,37.84,52.0,950,202,467,198,39643.0,188800.0,NEAR BAY
44,-122.26,37.83,52.0,1443,311,660,292,30125.0,184400.0,NEAR BAY
45,-122.26,37.83,52.0,1656,420,718,382,26768.0,182300.0,NEAR BAY
46,-122.26,37.83,50.0,1125,322,616,304,20259.999999999996,142500.0,NEAR BAY
47,-122.27,37.82,43.0,1007,312,558,253,17348.0,137500.0,NEAR BAY
48,-122.26,37.82,40.0,624,195,423,160,9506.0,187500.0,NEAR BAY
49,-122.27,37.82,40.0,946,375,700,352,17750.0,112500.0,NEAR BAY
50,-122.27,37.82,21.0,896,453,735,438,9218.0,171900.0,NEAR BAY
51,-122.27,37.82,43.0,1868,456,1061,407,15045.0,93800.0,NEAR BAY
52,-122.27,37.82,41.0,3221,853,1959,720,11108.0,97500.0,NEAR BAY
53,-122.27,37.82,52.0,1630,456,1162,400,12475.0,104200.0,NEAR BAY
